L -748.0, 153.0, 390.0, -737.0, 215.0, 390.0, 0, 0, 0
L -737.0, 215.0, 390.0, -713.0, 262.0, 390.0, 0, 0, 0
L -713.0, 262.0, 390.0, -698.0, 329.0, 390.0, 0, 0, 0
L -698.0, 329.0, 390.0, -757.0, 387.0, 390.0, 0, 0, 0
L -757.0, 387.0, 390.0, -804.0, 391.0, 390.0, 0, 0, 0
L -804.0, 391.0, 390.0, -865.0, 384.0, 390.0, 0, 0, 0
L -865.0, 384.0, 390.0, -913.0, 393.0, 390.0, 0, 0, 0
L -913.0, 393.0, 390.0, -957.0, 390.0, 390.0, 0, 0, 0
L -957.0, 390.0, 390.0, -1020.0, 327.0, 390.0, 0, 0, 0
L -1020.0, 327.0, 390.0, -1006.0, 265.0, 390.0, 0, 0, 0
L -1006.0, 265.0, 390.0, -983.0, 218.0, 390.0, 0, 0, 0
L -983.0, 218.0, 390.0, -985.0, 173.0, 390.0, 0, 0, 0
L -985.0, 173.0, 390.0, -971.0, 130.0, 390.0, 0, 0, 0
L -971.0, 130.0, 390.0, -974.0, 79.0, 390.0, 0, 0, 0
L -974.0, 79.0, 390.0, -972.0, 26.0, 390.0, 0, 0, 0
L -972.0, 26.0, 390.0, -909.0, -38.0, 390.0, 0, 0, 0
L -909.0, -38.0, 390.0, -831.0, -56.0, 390.0, 0, 0, 0
L -831.0, -56.0, 390.0, -765.0, -53.0, 390.0, 0, 0, 0
L -765.0, -53.0, 390.0, -703.0, 7.0, 390.0, 0, 0, 0
L -703.0, 7.0, 390.0, -700.0, 52.0, 390.0, 0, 0, 0
L -700.0, 52.0, 390.0, -731.0, 108.0, 390.0, 0, 0, 0
L -731.0, 108.0, 390.0, -748.0, 153.0, 390.0, 0, 0, 0
L -898.0, -1036.0, 490.0, -835.0, -1036.0, 490.0, 0, 0, 0
L -835.0, -1036.0, 490.0, -808.0, -1055.0, 490.0, 0, 0, 0
L -808.0, -1055.0, 490.0, -796.0, -1067.0, 490.0, 0, 0, 0
L -796.0, -1067.0, 490.0, -780.0, -1065.0, 490.0, 0, 0, 0
L -780.0, -1065.0, 490.0, -765.0, -1061.0, 490.0, 0, 0, 0
L -765.0, -1061.0, 490.0, -753.0, -1057.0, 490.0, 0, 0, 0
L -753.0, -1057.0, 490.0, -724.0, -1028.0, 490.0, 0, 0, 0
L -724.0, -1028.0, 490.0, -720.0, -1016.0, 490.0, 0, 0, 0
L -720.0, -1016.0, 490.0, -716.0, -990.0, 490.0, 0, 0, 0
L -716.0, -990.0, 490.0, -689.0, -963.0, 490.0, 0, 0, 0
L -689.0, -963.0, 490.0, -682.0, -927.0, 490.0, 0, 0, 0
L -682.0, -927.0, 490.0, -667.0, -901.0, 490.0, 0, 0, 0
L -667.0, -901.0, 490.0, -674.0, -871.0, 490.0, 0, 0, 0
L -674.0, -871.0, 490.0, -666.0, -832.0, 490.0, 0, 0, 0
L -666.0, -832.0, 490.0, -638.0, -803.0, 490.0, 0, 0, 0
